feedback_id,model_name,user_name,prompt_text,response_text,rating,tags
F001,gpt-4,이정열,너 오늘 기분 어때?,나는 기분이 좋지 않아.,3.5,"['감성', '비판적']"
F002,mistral-7b,김민정,"안녕, 오늘 날씨 어때?",오늘은 맑고 따뜻할 거야.,4.2,"['날씨', '정보']"
F003,gpt-4,나비,코딩하는 법 알려줘,파이썬으로는 print부터 시작해봐.,4.7,"['코딩', '학습', '친절함']"
F004,gpt-4,지용,AI의 미래는?,자기소개서를 준비해봐.,3,"['미래', '감성', '재정', '여행']"
F005,mistral-7b,김민정,자기계발 하려면?,강남에 맛집이 있어.,3,"['일상', 'AI', '가이드', '날씨']"
F006,llama-3,박철수,오늘 기분은 어때?,파이썬은 print로 시작해봐.,3,"['공부', '코딩', '추천']"
F007,gemini-1.5,홍길동,운동은 어떻게 시작해?,최근 인기 영화는 OOO야.,3.1,"['학습', '준비', '맛집']"
F008,gpt-4,최수진,파이썬 시작하려면?,제주도를 추천해.,3.1,"['조언', '시간관리', '준비']"
F009,mistral-7b,강민호,스트레스 해소법은?,운동은 하루 30분씩 해.,3.1,"['일상', '공부', '미래', '취업']"
F010,llama-3,정유진,효과적인 공부법?,적금부터 시작해.,3.1,"['해소', '추천', '여행']"
F011,gemini-1.5,이민호,AI의 미래는?,제주도를 추천해.,3.1,"['학습', '설명', '날씨']"
F012,gpt-4,한지민,날씨가 궁금해.,긍정적으로 생각해.,3.2,"['요약', '추천', '가이드', '추천']"
F013,mistral-7b,오세훈,재테크 어떻게 시작해?,오늘은 기분이 좋아.,3.2,"['스트레스', '추천', '설명']"
F014,llama-3,배수진,오늘 기분은 어때?,AI는 다양한 산업에 쓰일 거야.,3.2,"['정보', '코딩', '가이드']"
F015,gemini-1.5,서지훈,스트레스 해소법은?,자기소개서를 준비해봐.,3.2,"['준비', '뉴스', '맛집', '요리']"
F016,gpt-4,장예진,운동은 어떻게 시작해?,파스타를 만들어봐.,3.2,"['감성', '조언', '코딩']"
F017,mistral-7b,문성훈,취업 준비 어떻게?,운동으로 스트레스를 풀어.,3.3,"['공부', '일상', '정보', '준비']"
F018,llama-3,유지현,자기계발 하려면?,자기소개서를 준비해봐.,3.3,"['레시피', '해소', '스트레스']"
F019,gemini-1.5,이정열,자기계발 하려면?,AI는 다양한 산업에 쓰일 거야.,3.3,"['정보', '건강', '코딩', '인생']"
F020,gpt-4,김민정,효과적인 공부법?,긍정적으로 생각해.,3.3,"['요리', '독서', '영화', '인생']"
F021,mistral-7b,박철수,효과적인 공부법?,적금부터 시작해.,3.3,"['취업', '요리', '날씨', '코딩']"
F022,llama-3,홍길동,AI의 미래는?,맑고 화창해.,3.4,"['자기계발', '요약', '공부', '효율']"
F023,gemini-1.5,최수진,자기계발 하려면?,계획을 세우는 게 좋아.,3.4,"['효율', '취업', '감성', '요약']"
F024,gpt-4,강민호,효율적인 시간 관리법은?,운동은 하루 30분씩 해.,3.4,"['정보', '일상', '뉴스']"
F025,mistral-7b,정유진,취업 준비 어떻게?,계획을 세우는 게 좋아.,3.4,"['영화', '해소', '독서']"
F026,llama-3,이민호,날씨가 궁금해.,맑고 화창해.,3.4,"['인생', '추천', '영화', '맛집']"
F027,gemini-1.5,한지민,추천할 영화 있어?,파스타를 만들어봐.,3.5,"['날씨', '조언', '정보', '기술']"
F028,gpt-4,오세훈,AI란 무엇일까?,할 일을 정리해보자.,3.5,"['미래', '인생', '코딩']"
F029,mistral-7b,배수진,스트레스 해소법은?,적금부터 시작해.,3.5,"['건강', '추천', '시간관리', '맛집']"
F030,llama-3,서지훈,AI란 무엇일까?,긍정적으로 생각해.,3.5,"['준비', '코딩', '학습', '일상']"
F031,gemini-1.5,장예진,날씨가 궁금해.,파이썬은 print로 시작해봐.,3.5,"['요약', '건강', '인생', '준비']"
F032,gpt-4,문성훈,쉬운 요리 알려줘.,적금부터 시작해.,3.6,"['학습', '맛집', '재정']"
F033,mistral-7b,유지현,취업 준비 어떻게?,파스타를 만들어봐.,3.6,"['여행', '시간관리', '미래']"
F034,llama-3,이정열,운동은 어떻게 시작해?,파이썬은 print로 시작해봐.,3.6,"['조언', '날씨', '요리']"
F035,gemini-1.5,김민정,취업 준비 어떻게?,계획을 세우는 게 좋아.,3.6,"['재테크', '건강', '설명']"
F036,gpt-4,박철수,효율적인 시간 관리법은?,할 일을 정리해보자.,3.6,"['요리', 'AI', '영화', '감성']"
F037,mistral-7b,홍길동,인생 조언 해줘.,긍정적으로 생각해.,3.7,"['시간관리', '자기계발', '추천']"
F038,llama-3,최수진,오늘 기분은 어때?,운동으로 스트레스를 풀어.,3.7,"['인생', '추천', '미래', '코딩']"
F039,gemini-1.5,강민호,효과적인 공부법?,운동은 하루 30분씩 해.,3.7,"['맛집', '여행', '일상', '요리']"
F040,gpt-4,정유진,인생 조언 해줘.,AI는 다양한 산업에 쓰일 거야.,3.7,"['레시피', '추천', '자기계발']"
F041,mistral-7b,이민호,인생 조언 해줘.,자기소개서를 준비해봐.,3.7,"['운동', '가이드', '코딩']"
F042,llama-3,한지민,오늘 기분은 어때?,AI는 다양한 산업에 쓰일 거야.,3.8,"['해소', '요약', '여행']"
F043,gemini-1.5,오세훈,재테크 어떻게 시작해?,적금부터 시작해.,3.8,"['운동', '취업', '시간관리', '조언']"
F044,gpt-4,배수진,추천할 영화 있어?,책을 읽는 게 좋아.,3.8,"['기술', '여행', '코딩']"
F045,mistral-7b,서지훈,파이썬 시작하려면?,적금부터 시작해.,3.8,"['운동', '날씨', '추천']"
F046,llama-3,장예진,AI의 미래는?,파이썬은 print로 시작해봐.,3.8,"['기술', '추천', '여행']"
F047,gemini-1.5,문성훈,인생 조언 해줘.,제주도를 추천해.,3.9,"['감성', '공부', '추천', '일상']"
F048,gpt-4,유지현,AI란 무엇일까?,오늘은 기분이 좋아.,3.9,"['요약', '정보', '추천']"
F049,mistral-7b,이정열,자기계발 하려면?,강남에 맛집이 있어.,3.9,"['인생', '독서', '요약']"
F050,llama-3,김민정,운동은 어떻게 시작해?,자기소개서를 준비해봐.,3.9,"['미래', '레시피', '맛집', '운동']"
F051,gemini-1.5,박철수,AI의 미래는?,자기소개서를 준비해봐.,3.9,"['정보', '날씨', '효율', '인생']"
F052,gpt-4,홍길동,효율적인 시간 관리법은?,최근 인기 영화는 OOO야.,4,"['준비', '인생', '해소', '요리']"
F053,mistral-7b,최수진,날씨가 궁금해.,AI는 다양한 산업에 쓰일 거야.,4,"['코딩', '조언', 'AI']"
F054,llama-3,강민호,효과적인 공부법?,파스타를 만들어봐.,4,"['준비', '설명', '재정', '재테크']"
F055,gemini-1.5,정유진,맛있는 집 추천해줘.,긍정적으로 생각해.,4,"['기술', '준비', '시간관리']"
F056,gpt-4,이민호,AI란 무엇일까?,운동은 하루 30분씩 해.,4.1,"['설명', '준비', '건강', '운동']"
F057,mistral-7b,한지민,AI의 미래는?,오늘은 기분이 좋아.,4.1,"['설명', '추천', '맛집']"
F058,llama-3,오세훈,쉬운 요리 알려줘.,AI는 학습하는 기술이야.,4.1,"['공부', '설명', '시간관리', '미래']"
F059,gemini-1.5,배수진,운동은 어떻게 시작해?,할 일을 정리해보자.,4.1,"['조언', '추천', '스트레스', '코딩']"
F060,gpt-4,서지훈,추천할 영화 있어?,제주도를 추천해.,4.1,"['해소', '미래', '여행']"
F061,mistral-7b,장예진,좋은 여행지는?,자기소개서를 준비해봐.,4.2,"['정보', '여행', '인생', '요리']"
F062,llama-3,문성훈,효율적인 시간 관리법은?,긍정적으로 생각해.,4.2,"['영화', '맛집', '기술', '해소']"
F063,gemini-1.5,유지현,자기계발 하려면?,파이썬은 print로 시작해봐.,4.2,"['학습', '시간관리', '요리', 'AI']"
F064,gpt-4,이정열,파이썬 시작하려면?,자기소개서를 준비해봐.,4.2,"['추천', '가이드', '자기계발']"
F065,mistral-7b,김민정,재테크 어떻게 시작해?,AI는 학습하는 기술이야.,4.2,"['맛집', 'AI', '학습']"
F066,llama-3,박철수,효율적인 시간 관리법은?,주요 뉴스는 경제 관련이야.,4.3,"['공부', '학습', '스트레스', '맛집']"
F067,gemini-1.5,홍길동,AI의 미래는?,운동은 하루 30분씩 해.,4.3,"['운동', '추천', '해소']"
F068,gpt-4,최수진,AI의 미래는?,할 일을 정리해보자.,4.3,"['효율', '취업', '학습']"
F069,mistral-7b,강민호,날씨가 궁금해.,AI는 학습하는 기술이야.,4.3,"['재정', '운동', '기술', '해소']"
F070,llama-3,정유진,AI란 무엇일까?,오늘은 기분이 좋아.,4.3,"['뉴스', '시간관리', '정보']"
F071,gemini-1.5,이민호,오늘 뉴스 요약해줘.,파이썬은 print로 시작해봐.,4.4,"['추천', '추천', '건강', '공부']"
F072,gpt-4,한지민,쉬운 요리 알려줘.,오늘은 기분이 좋아.,4.4,"['운동', '감성', '코딩']"
F073,mistral-7b,오세훈,운동은 어떻게 시작해?,AI는 다양한 산업에 쓰일 거야.,4.4,"['공부', '추천', '레시피']"
F074,llama-3,배수진,효율적인 시간 관리법은?,적금부터 시작해.,4.4,"['정보', '인생', '날씨']"
F075,gemini-1.5,서지훈,효율적인 시간 관리법은?,운동으로 스트레스를 풀어.,4.4,"['일상', '뉴스', '자기계발']"
F076,gpt-4,장예진,오늘 뉴스 요약해줘.,책을 읽는 게 좋아.,4.5,"['미래', '인생', '스트레스', '추천']"
F077,mistral-7b,문성훈,추천할 영화 있어?,제주도를 추천해.,4.5,"['해소', '스트레스', '맛집']"
F078,llama-3,유지현,효율적인 시간 관리법은?,적금부터 시작해.,4.5,"['시간관리', '준비', '날씨', '독서']"
F079,gemini-1.5,이정열,재테크 어떻게 시작해?,계획을 세우는 게 좋아.,4.5,"['레시피', '뉴스', '스트레스', '감성']"
F080,gpt-4,김민정,날씨가 궁금해.,계획을 세우는 게 좋아.,4.5,"['재테크', '조언', '코딩', '재정']"
F081,mistral-7b,박철수,파이썬 시작하려면?,AI는 다양한 산업에 쓰일 거야.,4.6,"['추천', '운동', '공부', '건강']"
F082,llama-3,홍길동,날씨가 궁금해.,주요 뉴스는 경제 관련이야.,4.6,"['추천', '미래', '학습']"
F083,gemini-1.5,최수진,추천할 영화 있어?,책을 읽는 게 좋아.,4.6,"['재테크', '효율', '미래']"
F084,gpt-4,강민호,인생 조언 해줘.,파스타를 만들어봐.,4.6,"['스트레스', '레시피', '재테크', '코딩']"
F085,mistral-7b,정유진,날씨가 궁금해.,긍정적으로 생각해.,4.6,"['여행', '공부', '요리', '맛집']"
F086,llama-3,이민호,운동은 어떻게 시작해?,강남에 맛집이 있어.,4.7,"['날씨', '추천', '기술']"
F087,gemini-1.5,한지민,인생 조언 해줘.,긍정적으로 생각해.,4.7,"['취업', '재테크', '자기계발']"
F088,gpt-4,오세훈,효과적인 공부법?,긍정적으로 생각해.,4.7,"['추천', '맛집', '추천']"
F089,mistral-7b,배수진,맛있는 집 추천해줘.,맑고 화창해.,4.7,"['기술', '취업', '정보', '학습']"
F090,llama-3,서지훈,AI란 무엇일까?,파이썬은 print로 시작해봐.,4.7,"['감성', '추천', '시간관리']"
F091,gemini-1.5,장예진,추천할 영화 있어?,할 일을 정리해보자.,4.8,"['가이드', '건강', '학습', '기술']"
F092,gpt-4,문성훈,자기계발 하려면?,오늘은 기분이 좋아.,4.8,"['학습', '준비', '취업', '정보']"
F093,mistral-7b,유지현,취업 준비 어떻게?,주요 뉴스는 경제 관련이야.,4.8,"['여행', '독서', '운동', '시간관리']"
F094,llama-3,이정열,취업 준비 어떻게?,제주도를 추천해.,4.8,"['코딩', '인생', '레시피']"
F095,gemini-1.5,김민정,효율적인 시간 관리법은?,운동은 하루 30분씩 해.,4.8,"['추천', '정보', '날씨', '시간관리']"
F096,gpt-4,박철수,취업 준비 어떻게?,파스타를 만들어봐.,4.9,"['재정', 'AI', '요리']"
F097,mistral-7b,홍길동,맛있는 집 추천해줘.,적금부터 시작해.,4.9,"['뉴스', '효율', '자기계발', '재정']"
F098,llama-3,최수진,오늘 기분은 어때?,파스타를 만들어봐.,4.9,"['코딩', '영화', '날씨', '학습']"
F099,gemini-1.5,강민호,추천할 영화 있어?,주요 뉴스는 경제 관련이야.,4.9,"['건강', '설명', '학습']"
F100,gpt-4,정유진,재테크 어떻게 시작해?,AI는 다양한 산업에 쓰일 거야.,4.9,"['학습', '레시피', '재테크']"
F101,mistral-7b,이민호,운동은 어떻게 시작해?,AI는 다양한 산업에 쓰일 거야.,5,"['정보', '재정', 'AI']"
F102,llama-3,한지민,오늘 기분은 어때?,할 일을 정리해보자.,5,"['날씨', '운동', '재테크', '스트레스']"
F103,gemini-1.5,오세훈,인생 조언 해줘.,적금부터 시작해.,5,"['미래', '기술', '독서', '요리']"
